year,round,date,quali_pos,points,statusId,position,dob,driver_nationality,constructor,constructor_nationality,GP_name,country,driver
2007,2,2007-04-08,16,0.0,11,16,1980-08-06,Italian,Toro Rosso,Italian,Sepang International Circuit,Malaysia,Vitantonio Liuzzi
2006,2,2006-03-19,13,0.0,12,18,1980-08-06,Italian,Toro Rosso,Italian,Sepang International Circuit,Malaysia,Vitantonio Liuzzi
2007,2,2007-04-08,17,0.0,11,17,1983-01-24,American,Toro Rosso,Italian,Sepang International Circuit,Malaysia,Scott Speed
2006,2,2006-03-19,12,0.0,8,17,1983-01-24,American,Toro Rosso,Italian,Sepang International Circuit,Malaysia,Scott Speed
2012,2,2012-03-25,15,0.0,1,15,1989-07-01,Australian,Toro Rosso,Italian,Sepang International Circuit,Malaysia,Daniel Ricciardo
2013,2,2013-03-24,13,0.0,31,13,1989-07-01,Australian,Toro Rosso,Italian,Sepang International Circuit,Malaysia,Daniel Ricciardo
2012,2,2012-03-25,18,4.0,1,18,1990-04-25,French,Toro Rosso,Italian,Sepang International Circuit,Malaysia,Jean-Éric Vergne
2013,2,2013-03-24,17,1.0,1,17,1990-04-25,French,Toro Rosso,Italian,Sepang International Circuit,Malaysia,Jean-Éric Vergne
2014,2,2014-03-30,9,0.0,131,9,1990-04-25,French,Toro Rosso,Italian,Sepang International Circuit,Malaysia,Jean-Éric Vergne
2014,2,2014-03-30,11,1.0,11,11,1994-04-26,Russian,Toro Rosso,Italian,Sepang International Circuit,Malaysia,Daniil Kvyat
2016,16,2016-10-02,15,0.0,11,15,1994-04-26,Russian,Toro Rosso,Italian,Sepang International Circuit,Malaysia,Daniil Kvyat
2015,2,2015-03-29,15,4.0,11,15,1994-09-01,Spanish,Toro Rosso,Italian,Sepang International Circuit,Malaysia,Carlos Sainz
2016,16,2016-10-02,16,0.0,1,16,1994-09-01,Spanish,Toro Rosso,Italian,Sepang International Circuit,Malaysia,Carlos Sainz
2017,15,2017-10-01,14,0.0,5,14,1994-09-01,Spanish,Toro Rosso,Italian,Sepang International Circuit,Malaysia,Carlos Sainz
2015,2,2015-03-29,6,6.0,1,6,1997-09-30,Dutch,Toro Rosso,Italian,Sepang International Circuit,Malaysia,Max Verstappen
2017,15,2017-10-01,15,0.0,11,15,1996-02-07,French,Toro Rosso,Italian,Sepang International Circuit,Malaysia,Pierre Gasly
2009,2,2009-04-05,19,0.0,11,19,1983-01-11,German,Force India,Indian,Sepang International Circuit,Malaysia,Adrian Sutil
2008,2,2008-03-23,20,0.0,9,21,1983-01-11,German,Force India,Indian,Sepang International Circuit,Malaysia,Adrian Sutil
2010,3,2010-04-04,4,10.0,1,4,1983-01-11,German,Force India,Indian,Sepang International Circuit,Malaysia,Adrian Sutil
2011,2,2011-04-10,17,0.0,11,17,1983-01-11,German,Force India,Indian,Sepang International Circuit,Malaysia,Adrian Sutil
2013,2,2013-03-24,8,0.0,61,9,1983-01-11,German,Force India,Indian,Sepang International Circuit,Malaysia,Adrian Sutil
2009,2,2009-04-05,18,0.0,20,18,1973-01-14,Italian,Force India,Indian,Sepang International Circuit,Malaysia,Giancarlo Fisichella
2008,2,2008-03-23,17,0.0,11,17,1973-01-14,Italian,Force India,Indian,Sepang International Circuit,Malaysia,Giancarlo Fisichella
2010,3,2010-04-04,10,0.0,37,10,1980-08-06,Italian,Force India,Indian,Sepang International Circuit,Malaysia,Vitantonio Liuzzi
2012,2,2012-03-25,16,2.0,1,16,1987-08-19,German,Force India,Indian,Sepang International Circuit,Malaysia,Nico Hülkenberg
2014,2,2014-03-30,7,10.0,1,7,1987-08-19,German,Force India,Indian,Sepang International Circuit,Malaysia,Nico Hülkenberg
2015,2,2015-03-29,13,0.0,11,13,1987-08-19,German,Force India,Indian,Sepang International Circuit,Malaysia,Nico Hülkenberg
2016,16,2016-10-02,8,4.0,1,8,1987-08-19,German,Force India,Indian,Sepang International Circuit,Malaysia,Nico Hülkenberg
2011,2,2011-04-10,14,1.0,1,14,1986-04-16,British,Force India,Indian,Sepang International Circuit,Malaysia,Paul di Resta
2012,2,2012-03-25,14,6.0,1,14,1986-04-16,British,Force India,Indian,Sepang International Circuit,Malaysia,Paul di Resta
2013,2,2013-03-24,15,0.0,61,15,1986-04-16,British,Force India,Indian,Sepang International Circuit,Malaysia,Paul di Resta
2014,2,2014-03-30,14,0.0,54,14,1990-01-26,Mexican,Force India,Indian,Sepang International Circuit,Malaysia,Sergio Pérez
2015,2,2015-03-29,14,0.0,11,14,1990-01-26,Mexican,Force India,Indian,Sepang International Circuit,Malaysia,Sergio Pérez
2016,16,2016-10-02,7,8.0,1,7,1990-01-26,Mexican,Force India,Indian,Sepang International Circuit,Malaysia,Sergio Pérez
2017,15,2017-10-01,9,8.0,1,9,1990-01-26,Mexican,Force India,Indian,Sepang International Circuit,Malaysia,Sergio Pérez
2017,15,2017-10-01,6,1.0,11,6,1996-09-17,French,Force India,Indian,Sepang International Circuit,Malaysia,Esteban Ocon
2007,2,2007-04-08,21,0.0,4,22,1983-01-11,German,Spyker,Dutch,Sepang International Circuit,Malaysia,Adrian Sutil
2007,2,2007-04-08,20,0.0,5,21,1979-04-16,Dutch,Spyker,Dutch,Sepang International Circuit,Malaysia,Christijan Albers
2014,2,2014-03-30,17,0.0,10,18,1983-01-11,German,Sauber,Swiss,Sepang International Circuit,Malaysia,Adrian Sutil
2003,2,2003-03-23,6,1.0,11,6,1977-05-10,German,Sauber,Swiss,Sepang International Circuit,Malaysia,Nick Heidfeld
2002,2,2002-03-17,7,2.0,11,7,1977-05-10,German,Sauber,Swiss,Sepang International Circuit,Malaysia,Nick Heidfeld
2004,2,2004-03-21,12,0.0,11,12,1973-01-14,Italian,Sauber,Swiss,Sepang International Circuit,Malaysia,Giancarlo Fisichella
2005,2,2005-03-20,14,0.0,11,14,1981-04-25,Brazilian,Sauber,Swiss,Sepang International Circuit,Malaysia,Felipe Massa
2004,2,2004-03-21,11,1.0,11,11,1981-04-25,Brazilian,Sauber,Swiss,Sepang International Circuit,Malaysia,Felipe Massa
2002,2,2002-03-17,14,1.0,11,14,1981-04-25,Brazilian,Sauber,Swiss,Sepang International Circuit,Malaysia,Felipe Massa
2010,3,2010-04-04,9,0.0,5,9,1986-09-13,Japanese,Sauber,Swiss,Sepang International Circuit,Malaysia,Kamui Kobayashi
2011,2,2011-04-10,10,6.0,1,10,1986-09-13,Japanese,Sauber,Swiss,Sepang International Circuit,Malaysia,Kamui Kobayashi
2012,2,2012-03-25,17,0.0,31,17,1986-09-13,Japanese,Sauber,Swiss,Sepang International Circuit,Malaysia,Kamui Kobayashi
2005,2,2005-03-20,16,0.0,20,16,1971-04-09,Canadian,Sauber,Swiss,Sepang International Circuit,Malaysia,Jacques Villeneuve
2010,3,2010-04-04,12,0.0,5,12,1971-02-24,Spanish,Sauber,Swiss,Sepang International Circuit,Malaysia,Pedro de la Rosa
2003,2,2003-03-23,13,0.0,11,13,1967-05-18,German,Sauber,Swiss,Sepang International Circuit,Malaysia,Heinz-Harald Frentzen
2013,2,2013-03-24,12,4.0,1,12,1987-08-19,German,Sauber,Swiss,Sepang International Circuit,Malaysia,Nico Hülkenberg
2011,2,2011-04-10,16,0.0,3,16,1990-01-26,Mexican,Sauber,Swiss,Sepang International Circuit,Malaysia,Sergio Pérez
2012,2,2012-03-25,9,18.0,1,10,1990-01-26,Mexican,Sauber,Swiss,Sepang International Circuit,Malaysia,Sergio Pérez
2013,2,2013-03-24,14,0.0,11,14,1991-08-05,Mexican,Sauber,Swiss,Sepang International Circuit,Malaysia,Esteban Gutiérrez
2014,2,2014-03-30,12,0.0,6,12,1991-08-05,Mexican,Sauber,Swiss,Sepang International Circuit,Malaysia,Esteban Gutiérrez
2015,2,2015-03-29,9,0.0,20,10,1990-09-02,Swedish,Sauber,Swiss,Sepang International Circuit,Malaysia,Marcus Ericsson
2016,16,2016-10-02,17,0.0,11,17,1990-09-02,Swedish,Sauber,Swiss,Sepang International Circuit,Malaysia,Marcus Ericsson
2017,15,2017-10-01,19,0.0,12,19,1990-09-02,Swedish,Sauber,Swiss,Sepang International Circuit,Malaysia,Marcus Ericsson
2015,2,2015-03-29,16,0.0,11,16,1992-08-21,Brazilian,Sauber,Swiss,Sepang International Circuit,Malaysia,Felipe Nasr
2016,16,2016-10-02,18,0.0,23,18,1992-08-21,Brazilian,Sauber,Swiss,Sepang International Circuit,Malaysia,Felipe Nasr
2017,15,2017-10-01,18,0.0,11,18,1994-10-18,German,Sauber,Swiss,Sepang International Circuit,Malaysia,Pascal Wehrlein
2009,2,2009-04-05,10,4.0,1,11,1977-05-10,German,BMW Sauber,German,Sepang International Circuit,Malaysia,Nick Heidfeld
2008,2,2008-03-23,5,3.0,1,7,1977-05-10,German,BMW Sauber,German,Sepang International Circuit,Malaysia,Nick Heidfeld
2007,2,2007-04-08,5,5.0,1,5,1977-05-10,German,BMW Sauber,German,Sepang International Circuit,Malaysia,Nick Heidfeld
2006,2,2006-03-19,11,0.0,5,15,1977-05-10,German,BMW Sauber,German,Sepang International Circuit,Malaysia,Nick Heidfeld
2009,2,2009-04-05,6,0.0,5,8,1984-12-07,Polish,BMW Sauber,German,Sepang International Circuit,Malaysia,Robert Kubica
2008,2,2008-03-23,4,8.0,1,6,1984-12-07,Polish,BMW Sauber,German,Sepang International Circuit,Malaysia,Robert Kubica
2007,2,2007-04-08,7,0.0,11,7,1984-12-07,Polish,BMW Sauber,German,Sepang International Circuit,Malaysia,Robert Kubica
2006,2,2006-03-19,10,2.0,1,14,1971-04-09,Canadian,BMW Sauber,German,Sepang International Circuit,Malaysia,Jacques Villeneuve
2009,2,2009-04-05,5,1.5,1,7,1976-08-27,Australian,Red Bull,Austrian,Sepang International Circuit,Malaysia,Mark Webber
2008,2,2008-03-23,6,2.0,1,8,1976-08-27,Australian,Red Bull,Austrian,Sepang International Circuit,Malaysia,Mark Webber
2007,2,2007-04-08,10,0.0,1,10,1976-08-27,Australian,Red Bull,Austrian,Sepang International Circuit,Malaysia,Mark Webber
2010,3,2010-04-04,1,18.0,1,1,1976-08-27,Australian,Red Bull,Austrian,Sepang International Circuit,Malaysia,Mark Webber
2011,2,2011-04-10,3,12.0,1,3,1976-08-27,Australian,Red Bull,Austrian,Sepang International Circuit,Malaysia,Mark Webber
2012,2,2012-03-25,4,12.0,1,4,1976-08-27,Australian,Red Bull,Austrian,Sepang International Circuit,Malaysia,Mark Webber
2013,2,2013-03-24,5,18.0,1,5,1976-08-27,Australian,Red Bull,Austrian,Sepang International Circuit,Malaysia,Mark Webber
2009,2,2009-04-05,13,0.0,20,3,1987-07-03,German,Red Bull,Austrian,Sepang International Circuit,Malaysia,Sebastian Vettel
2010,3,2010-04-04,3,25.0,1,3,1987-07-03,German,Red Bull,Austrian,Sepang International Circuit,Malaysia,Sebastian Vettel
2011,2,2011-04-10,1,25.0,1,1,1987-07-03,German,Red Bull,Austrian,Sepang International Circuit,Malaysia,Sebastian Vettel
2012,2,2012-03-25,5,0.0,1,6,1987-07-03,German,Red Bull,Austrian,Sepang International Circuit,Malaysia,Sebastian Vettel
2013,2,2013-03-24,1,25.0,1,1,1987-07-03,German,Red Bull,Austrian,Sepang International Circuit,Malaysia,Sebastian Vettel
2014,2,2014-03-30,2,15.0,1,2,1987-07-03,German,Red Bull,Austrian,Sepang International Circuit,Malaysia,Sebastian Vettel
2008,2,2008-03-23,12,0.0,1,12,1971-03-27,British,Red Bull,Austrian,Sepang International Circuit,Malaysia,David Coulthard
2007,2,2007-04-08,13,0.0,23,13,1971-03-27,British,Red Bull,Austrian,Sepang International Circuit,Malaysia,David Coulthard
2006,2,2006-03-19,19,0.0,9,11,1971-03-27,British,Red Bull,Austrian,Sepang International Circuit,Malaysia,David Coulthard
2005,2,2005-03-20,8,3.0,1,8,1971-03-27,British,Red Bull,Austrian,Sepang International Circuit,Malaysia,David Coulthard
2006,2,2006-03-19,8,0.0,9,9,1983-02-07,Austrian,Red Bull,Austrian,Sepang International Circuit,Malaysia,Christian Klien
2005,2,2005-03-20,7,1.0,1,7,1983-02-07,Austrian,Red Bull,Austrian,Sepang International Circuit,Malaysia,Christian Klien
2014,2,2014-03-30,5,0.0,39,5,1989-07-01,Australian,Red Bull,Austrian,Sepang International Circuit,Malaysia,Daniel Ricciardo
2015,2,2015-03-29,4,1.0,11,4,1989-07-01,Australian,Red Bull,Austrian,Sepang International Circuit,Malaysia,Daniel Ricciardo
2016,16,2016-10-02,4,25.0,1,4,1989-07-01,Australian,Red Bull,Austrian,Sepang International Circuit,Malaysia,Daniel Ricciardo
2017,15,2017-10-01,4,15.0,1,4,1989-07-01,Australian,Red Bull,Austrian,Sepang International Circuit,Malaysia,Daniel Ricciardo
2015,2,2015-03-29,5,2.0,11,5,1994-04-26,Russian,Red Bull,Austrian,Sepang International Circuit,Malaysia,Daniil Kvyat
2016,16,2016-10-02,3,18.0,1,3,1997-09-30,Dutch,Red Bull,Austrian,Sepang International Circuit,Malaysia,Max Verstappen
2017,15,2017-10-01,3,25.0,1,3,1997-09-30,Dutch,Red Bull,Austrian,Sepang International Circuit,Malaysia,Max Verstappen
2004,2,2004-03-21,2,0.0,20,2,1976-08-27,Australian,Jaguar,British,Sepang International Circuit,Malaysia,Mark Webber
2003,2,2003-03-23,16,0.0,5,16,1976-08-27,Australian,Jaguar,British,Sepang International Circuit,Malaysia,Mark Webber
2004,2,2004-03-21,13,0.0,11,13,1983-02-07,Austrian,Jaguar,British,Sepang International Circuit,Malaysia,Christian Klien
2002,2,2002-03-17,17,0.0,12,17,1971-02-24,Spanish,Jaguar,British,Sepang International Circuit,Malaysia,Pedro de la Rosa
2003,2,2003-03-23,15,0.0,20,15,1980-09-11,Brazilian,Jaguar,British,Sepang International Circuit,Malaysia,Antônio Pizzonia
2002,2,2002-03-17,20,0.0,9,20,1965-11-10,British,Jaguar,British,Sepang International Circuit,Malaysia,Eddie Irvine
2012,2,2012-03-25,10,10.0,1,5,1979-10-17,Finnish,Lotus F1,British,Sepang International Circuit,Malaysia,Kimi Räikkönen
2013,2,2013-03-24,10,6.0,1,7,1979-10-17,Finnish,Lotus F1,British,Sepang International Circuit,Malaysia,Kimi Räikkönen
2012,2,2012-03-25,6,0.0,4,7,1986-04-17,French,Lotus F1,British,Sepang International Circuit,Malaysia,Romain Grosjean
2013,2,2013-03-24,11,8.0,1,11,1986-04-17,French,Lotus F1,British,Sepang International Circuit,Malaysia,Romain Grosjean
2014,2,2014-03-30,15,0.0,11,16,1986-04-17,French,Lotus F1,British,Sepang International Circuit,Malaysia,Romain Grosjean
2015,2,2015-03-29,10,0.0,11,8,1986-04-17,French,Lotus F1,British,Sepang International Circuit,Malaysia,Romain Grosjean
2014,2,2014-03-30,16,0.0,5,17,1985-03-09,Venezuelan,Lotus F1,British,Sepang International Circuit,Malaysia,Pastor Maldonado
2015,2,2015-03-29,12,0.0,31,12,1985-03-09,Venezuelan,Lotus F1,British,Sepang International Circuit,Malaysia,Pastor Maldonado
2012,2,2012-03-25,24,0.0,11,19,1981-10-19,Finnish,Caterham,Malaysian,Sepang International Circuit,Malaysia,Heikki Kovalainen
2014,2,2014-03-30,20,0.0,11,20,1986-09-13,Japanese,Caterham,Malaysian,Sepang International Circuit,Malaysia,Kamui Kobayashi
2012,2,2012-03-25,19,0.0,11,20,1984-09-08,Russian,Caterham,Malaysian,Sepang International Circuit,Malaysia,Vitaly Petrov
2013,2,2013-03-24,20,0.0,11,20,1990-02-15,French,Caterham,Malaysian,Sepang International Circuit,Malaysia,Charles Pic
2013,2,2013-03-24,22,0.0,11,22,1985-04-25,Dutch,Caterham,Malaysian,Sepang International Circuit,Malaysia,Giedo van der Garde
2014,2,2014-03-30,22,0.0,12,22,1990-09-02,Swedish,Caterham,Malaysian,Sepang International Circuit,Malaysia,Marcus Ericsson
2016,16,2016-10-02,12,0.0,23,12,1986-04-17,French,Haas F1 Team,American,Sepang International Circuit,Malaysia,Romain Grosjean
2017,15,2017-10-01,16,0.0,11,16,1986-04-17,French,Haas F1 Team,American,Sepang International Circuit,Malaysia,Romain Grosjean
2016,16,2016-10-02,13,0.0,61,13,1991-08-05,Mexican,Haas F1 Team,American,Sepang International Circuit,Malaysia,Esteban Gutiérrez
2017,15,2017-10-01,17,0.0,11,17,1992-10-05,Danish,Haas F1 Team,American,Sepang International Circuit,Malaysia,Kevin Magnussen
2011,2,2011-04-10,23,0.0,88,23,1980-08-06,Italian,HRT,Spanish,Sepang International Circuit,Malaysia,Vitantonio Liuzzi
2012,2,2012-03-25,22,0.0,12,23,1971-02-24,Spanish,HRT,Spanish,Sepang International Circuit,Malaysia,Pedro de la Rosa
2011,2,2011-04-10,24,0.0,128,24,1977-01-14,Indian,HRT,Spanish,Sepang International Circuit,Malaysia,Narain Karthikeyan
2012,2,2012-03-25,23,0.0,12,24,1977-01-14,Indian,HRT,Spanish,Sepang International Circuit,Malaysia,Narain Karthikeyan
2010,3,2010-04-04,23,0.0,14,23,1983-10-15,Brazilian,HRT,Spanish,Sepang International Circuit,Malaysia,Bruno Senna
2010,3,2010-04-04,22,0.0,13,22,1984-01-19,Indian,HRT,Spanish,Sepang International Circuit,Malaysia,Karun Chandhok
2008,2,2008-03-23,19,0.0,12,20,1977-01-28,Japanese,Super Aguri,Japanese,Sepang International Circuit,Malaysia,Takuma Sato
2007,2,2007-04-08,14,0.0,11,14,1977-01-28,Japanese,Super Aguri,Japanese,Sepang International Circuit,Malaysia,Takuma Sato
2006,2,2006-03-19,17,0.0,13,21,1977-01-28,Japanese,Super Aguri,Japanese,Sepang International Circuit,Malaysia,Takuma Sato
2008,2,2008-03-23,21,0.0,11,22,1979-04-18,British,Super Aguri,Japanese,Sepang International Circuit,Malaysia,Anthony Davidson
2007,2,2007-04-08,18,0.0,11,18,1979-04-18,British,Super Aguri,Japanese,Sepang International Circuit,Malaysia,Anthony Davidson
2006,2,2006-03-19,18,0.0,26,22,1975-01-21,Japanese,Super Aguri,Japanese,Sepang International Circuit,Malaysia,Yuji Ide
2006,2,2006-03-19,15,0.0,12,19,1979-04-16,Dutch,MF1,Russian,Sepang International Circuit,Malaysia,Christijan Albers
2006,2,2006-03-19,16,0.0,12,20,1976-07-24,Portuguese,MF1,Russian,Sepang International Circuit,Malaysia,Tiago Monteiro
2002,2,2002-03-17,11,0.0,12,11,1967-05-18,German,Arrows,British,Sepang International Circuit,Malaysia,Heinz-Harald Frentzen
2002,2,2002-03-17,16,0.0,74,16,1978-10-19,Brazilian,Arrows,British,Sepang International Circuit,Malaysia,Enrique Bernoldi
2015,2,2015-03-29,19,0.0,13,19,1991-03-22,Spanish,Manor Marussia,British,Sepang International Circuit,Malaysia,Roberto Merhi
2016,16,2016-10-02,21,0.0,11,21,1994-10-18,German,Manor Marussia,British,Sepang International Circuit,Malaysia,Pascal Wehrlein
2016,16,2016-10-02,20,0.0,11,20,1996-09-17,French,Manor Marussia,British,Sepang International Circuit,Malaysia,Esteban Ocon
2009,3,2009-04-19,5,6.0,1,5,1980-01-19,British,Brawn,British,Shanghai International Circuit,China,Jenson Button
2009,3,2009-04-19,4,5.0,1,4,1972-05-23,Brazilian,Brawn,British,Shanghai International Circuit,China,Rubens Barrichello
2008,17,2008-10-19,18,0.0,11,18,1980-01-19,British,Honda,Japanese,Shanghai International Circuit,China,Jenson Button
2007,16,2007-10-07,10,4.0,1,10,1980-01-19,British,Honda,Japanese,Shanghai International Circuit,China,Jenson Button
2006,16,2006-10-01,4,5.0,1,4,1980-01-19,British,Honda,Japanese,Shanghai International Circuit,China,Jenson Button
2008,17,2008-10-19,13,0.0,1,14,1972-05-23,Brazilian,Honda,Japanese,Shanghai International Circuit,China,Rubens Barrichello
2007,16,2007-10-07,16,0.0,11,16,1972-05-23,Brazilian,Honda,Japanese,Shanghai International Circuit,China,Rubens Barrichello
2006,16,2006-10-01,3,3.0,1,3,1972-05-23,Brazilian,Honda,Japanese,Shanghai International Circuit,China,Rubens Barrichello
2005,19,2005-10-16,4,1.0,1,4,1980-01-19,British,BAR,British,Shanghai International Circuit,China,Jenson Button
2004,16,2004-09-26,3,8.0,1,3,1980-01-19,British,BAR,British,Shanghai International Circuit,China,Jenson Button
2005,19,2005-10-16,17,0.0,6,17,1977-01-28,Japanese,BAR,British,Shanghai International Circuit,China,Takuma Sato
2004,16,2004-09-26,18,3.0,1,9,1977-01-28,Japanese,BAR,British,Shanghai International Circuit,China,Takuma Sato
2009,3,2009-04-19,2,0.0,1,2,1981-07-29,Spanish,Renault,French,Shanghai International Circuit,China,Fernando Alonso
2008,17,2008-10-19,4,5.0,1,4,1981-07-29,Spanish,Renault,French,Shanghai International Circuit,China,Fernando Alonso
2006,16,2006-10-01,1,8.0,1,1,1981-07-29,Spanish,Renault,French,Shanghai International Circuit,China,Fernando Alonso
2005,19,2005-10-16,1,10.0,1,1,1981-07-29,Spanish,Renault,French,Shanghai International Circuit,China,Fernando Alonso
2004,16,2004-09-26,6,5.0,1,6,1981-07-29,Spanish,Renault,French,Shanghai International Circuit,China,Fernando Alonso
2011,3,2011-04-17,16,0.0,1,16,1977-05-10,German,Renault,French,Shanghai International Circuit,China,Nick Heidfeld
2007,16,2007-10-07,18,0.0,1,18,1973-01-14,Italian,Renault,French,Shanghai International Circuit,China,Giancarlo Fisichella
2006,16,2006-10-01,2,6.0,1,2,1973-01-14,Italian,Renault,French,Shanghai International Circuit,China,Giancarlo Fisichella
2005,19,2005-10-16,2,5.0,1,2,1973-01-14,Italian,Renault,French,Shanghai International Circuit,China,Giancarlo Fisichella
2010,4,2010-04-18,8,10.0,1,8,1984-12-07,Polish,Renault,French,Shanghai International Circuit,China,Robert Kubica
2009,3,2009-04-19,16,0.0,12,17,1985-07-25,Brazilian,Renault,French,Shanghai International Circuit,China,Nelson Piquet Jr.
2008,17,2008-10-19,10,1.0,1,11,1985-07-25,Brazilian,Renault,French,Shanghai International Circuit,China,Nelson Piquet Jr.
2007,16,2007-10-07,13,0.0,1,13,1981-10-19,Finnish,Renault,French,Shanghai International Circuit,China,Heikki Kovalainen
2004,16,2004-09-26,12,0.0,11,13,1971-04-09,Canadian,Renault,French,Shanghai International Circuit,China,Jacques Villeneuve
2017,2,2017-04-09,7,0.0,11,7,1987-08-19,German,Renault,French,Shanghai International Circuit,China,Nico Hülkenberg
2018,3,2018-04-15,7,8.0,1,7,1987-08-19,German,Renault,French,Shanghai International Circuit,China,Nico Hülkenberg
2019,3,2019-04-14,8,0.0,131,8,1987-08-19,German,Renault,French,Shanghai International Circuit,China,Nico Hülkenberg
2010,4,2010-04-18,14,6.0,1,14,1984-09-08,Russian,Renault,French,Shanghai International Circuit,China,Vitaly Petrov
2011,3,2011-04-17,10,2.0,1,10,1984-09-08,Russian,Renault,French,Shanghai International Circuit,China,Vitaly Petrov
2019,3,2019-04-14,7,6.0,11,7,1989-07-01,Australian,Renault,French,Shanghai International Circuit,China,Daniel Ricciardo
2016,3,2016-04-17,17,0.0,11,17,1992-10-05,Danish,Renault,French,Shanghai International Circuit,China,Kevin Magnussen
2018,3,2018-04-15,9,2.0,1,9,1994-09-01,Spanish,Renault,French,Shanghai International Circuit,China,Carlos Sainz
2016,3,2016-04-17,19,0.0,11,19,1991-01-20,British,Renault,French,Shanghai International Circuit,China,Jolyon Palmer
2017,2,2017-04-09,20,0.0,11,18,1991-01-20,British,Renault,French,Shanghai International Circuit,China,Jolyon Palmer
2010,4,2010-04-18,11,0.0,1,11,1972-05-23,Brazilian,Williams,British,Shanghai International Circuit,China,Rubens Barrichello
2011,3,2011-04-17,15,0.0,1,15,1972-05-23,Brazilian,Williams,British,Shanghai International Circuit,China,Rubens Barrichello
2009,3,2009-04-19,7,0.0,11,7,1985-06-27,German,Williams,British,Shanghai International Circuit,China,Nico Rosberg
2008,17,2008-10-19,14,0.0,11,15,1985-06-27,German,Williams,British,Shanghai International Circuit,China,Nico Rosberg
2007,16,2007-10-07,15,0.0,12,15,1985-06-27,German,Williams,British,Shanghai International Circuit,China,Nico Rosberg
2006,16,2006-10-01,15,0.0,11,15,1985-06-27,German,Williams,British,Shanghai International Circuit,China,Nico Rosberg
2006,16,2006-10-01,14,1.0,1,14,1976-08-27,Australian,Williams,British,Shanghai International Circuit,China,Mark Webber
2005,19,2005-10-16,10,2.0,1,10,1976-08-27,Australian,Williams,British,Shanghai International Circuit,China,Mark Webber
2019,3,2019-04-14,18,0.0,12,18,1984-12-07,Polish,Williams,British,Shanghai International Circuit,China,Robert Kubica
2014,4,2014-04-20,6,0.0,11,6,1981-04-25,Brazilian,Williams,British,Shanghai International Circuit,China,Felipe Massa
2015,3,2015-04-12,4,10.0,1,4,1981-04-25,Brazilian,Williams,British,Shanghai International Circuit,China,Felipe Massa
2016,3,2016-04-17,10,8.0,1,11,1981-04-25,Brazilian,Williams,British,Shanghai International Circuit,China,Felipe Massa
2017,2,2017-04-09,6,0.0,11,6,1981-04-25,Brazilian,Williams,British,Shanghai International Circuit,China,Felipe Massa
2009,3,2009-04-19,14,0.0,31,15,1985-01-11,Japanese,Williams,British,Shanghai International Circuit,China,Kazuki Nakajima
2008,17,2008-10-19,17,0.0,1,17,1985-01-11,Japanese,Williams,British,Shanghai International Circuit,China,Kazuki Nakajima
2004,16,2004-09-26,5,0.0,4,5,1975-06-30,German,Williams,British,Shanghai International Circuit,China,Ralf Schumacher
2007,16,2007-10-07,19,0.0,11,19,1974-02-15,Austrian,Williams,British,Shanghai International Circuit,China,Alexander Wurz
2004,16,2004-09-26,10,4.0,1,11,1975-09-20,Colombian,Williams,British,Shanghai International Circuit,China,Juan Pablo Montoya
2005,19,2005-10-16,13,0.0,59,13,1980-09-11,Brazilian,Williams,British,Shanghai International Circuit,China,Antônio Pizzonia
2010,4,2010-04-18,16,0.0,11,16,1987-08-19,German,Williams,British,Shanghai International Circuit,China,Nico Hülkenberg
2012,3,2012-04-15,14,6.0,1,14,1983-10-15,Brazilian,Williams,British,Shanghai International Circuit,China,Bruno Senna
2011,3,2011-04-17,17,0.0,11,17,1985-03-09,Venezuelan,Williams,British,Shanghai International Circuit,China,Pastor Maldonado
2012,3,2012-04-15,13,4.0,1,13,1985-03-09,Venezuelan,Williams,British,Shanghai International Circuit,China,Pastor Maldonado
2013,3,2013-04-14,14,0.0,1,15,1985-03-09,Venezuelan,Williams,British,Shanghai International Circuit,China,Pastor Maldonado
2013,3,2013-04-14,16,0.0,1,17,1989-08-28,Finnish,Williams,British,Shanghai International Circuit,China,Valtteri Bottas
2014,4,2014-04-20,7,6.0,1,7,1989-08-28,Finnish,Williams,British,Shanghai International Circuit,China,Valtteri Bottas
2015,3,2015-04-12,5,8.0,1,5,1989-08-28,Finnish,Williams,British,Shanghai International Circuit,China,Valtteri Bottas
2016,3,2016-04-17,5,1.0,1,5,1989-08-28,Finnish,Williams,British,Shanghai International Circuit,China,Valtteri Bottas
2017,2,2017-04-09,10,0.0,4,10,1998-10-29,Canadian,Williams,British,Shanghai International Circuit,China,Lance Stroll
2018,3,2018-04-15,18,0.0,1,18,1998-10-29,Canadian,Williams,British,Shanghai International Circuit,China,Lance Stroll
2018,3,2018-04-15,16,0.0,1,16,1995-08-27,Russian,Williams,British,Shanghai International Circuit,China,Sergey Sirotkin
2019,3,2019-04-14,17,0.0,12,17,1998-02-15,British,Williams,British,Shanghai International Circuit,China,George Russell
2010,4,2010-04-18,5,25.0,1,5,1980-01-19,British,McLaren,British,Shanghai International Circuit,China,Jenson Button
2011,3,2011-04-17,2,12.0,1,2,1980-01-19,British,McLaren,British,Shanghai International Circuit,China,Jenson Button
2012,3,2012-04-15,5,18.0,1,6,1980-01-19,British,McLaren,British,Shanghai International Circuit,China,Jenson Button
2013,3,2013-04-14,8,10.0,1,8,1980-01-19,British,McLaren,British,Shanghai International Circuit,China,Jenson Button
